Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
Blackadder the Third,17 Sep 1987,Comedy,180 min,8.6,"49,299",
Young Justice,26 Nov 2010,"Animation, Action, Adventure",23 min,8.6,"48,577",
Gomorrah,10 Apr 2009,"Crime, Drama",137 min,7.0,"51,790","$1,579,146"
Father Ted,21 Apr 1995,Comedy,2 min,8.7,"46,018",
The Offer,28 Apr 2022,"Biography, Crime, Drama",N/A,8.6,"44,063",
X-Men '97,20 Mar 2024,"Animation, Action, Adventure",N/A,8.8,"44,047",
Haikyu!!,05 Apr 2014,"Animation, Comedy, Drama",1 min,8.7,"44,923",
Mr Inbetween,25 Sep 2018,"Crime, Drama",30 min,8.7,"37,865",
Behzat Ç: An Ankara Detective Story,19 Sep 2010,"Crime, Drama, Mystery",90 min,8.8,"33,719",
Flames,04 Feb 2018,"Comedy, Drama, Romance",20 min,8.8,"33,035",
Yeh Meri Family,12 Jul 2018,"Comedy, Drama, Family",30 min,8.9,"26,965",
Mahabharat,02 Oct 1988,"Action, Adventure, Drama",45 min,9.0,"23,756",
The Civil War,23 Sep 1990,"Documentary, History, War",680 min,9.0,"21,183",
Azize,19 Nov 2019,Drama,120 min,8.7,"14,050",
Koombiyo,26 Aug 2017,"Crime, Drama, Thriller",20 min,9.0,"17,644",
How I Met Your Mother,19 Sep 2005,"Comedy, Drama, Romance",22 min,8.3,"760,731",
Lost,22 Sep 2004,"Adventure, Drama, Fantasy",44 min,8.3,"638,007",
Prison Break,29 Aug 2005,"Action, Crime, Drama",44 min,8.3,"630,459",
House of the Dragon,21 Aug 2022,"Action, Adventure, Drama",N/A,8.3,"476,583",
Homeland,02 Oct 2011,"Crime, Drama, Mystery",55 min,8.3,"369,511",
Fallout,10 Apr 2024,"Action, Adventure, Drama",N/A,8.3,"312,624",
The Handmaid's Tale,26 Apr 2017,"Drama, Sci-Fi, Thriller",60 min,8.3,"272,813",
Euphoria,16 Jun 2019,Drama,55 min,8.3,"269,954",
"Love, Death & Robots",15 Mar 2019,"Animation, Short, Action",15 min,8.4,"214,056",
Mare of Easttown,18 Apr 2021,"Crime, Drama, Mystery",403 min,8.4,"206,102",
24,06 Nov 2001,"Action, Crime, Drama",44 min,8.4,"202,774",
The Night Of,24 Jun 2016,"Crime, Drama, Mystery",525 min,8.4,"181,275",
Entourage,18 Jul 2004,"Comedy, Drama",28 min,8.4,"179,781",
The Heroes,N/A,"Animation, Drama, History",30 min,8.4,"168,785",
After Life,08 Mar 2019,"Comedy, Drama",30 min,8.4,"161,112",
Luther,17 Oct 2010,"Crime, Drama, Mystery",1 min,8.4,"159,455",
Naruto,10 Sep 2005,"Animation, Action, Adventure",24 min,8.4,"148,418",
Banshee,11 Jan 2013,"Action, Crime, Drama",60 min,8.4,"135,656",
Star Wars: The Clone Wars,03 Oct 2008,"Animation, Action, Adventure",23 min,8.4,"132,011",
The Americans,30 Jan 2013,"Crime, Drama, Mystery",44 min,8.4,"114,682",
Psych,07 Jul 2006,"Comedy, Crime, Mystery",44 min,8.4,"116,450",
Normal People,29 Apr 2020,"Drama, Romance",339 min,8.4,"101,860",
Stargate SG-1,27 Jul 1997,"Action, Adventure, Drama",44 min,8.4,"104,452",
